datetime,PM2.5
2022-01-01 01:00:00,36.84
2022-01-01 02:00:00,33.76
2022-01-01 03:00:00,36.27
2022-01-01 04:00:00,42.84
2022-01-01 05:00:00,38.95
2022-01-01 06:00:00,14.03
2022-01-01 07:00:00,20.99
2022-01-01 08:00:00,17.06
2022-01-01 09:00:00,19.34
2022-01-01 10:00:00,18.95
2022-01-01 11:00:00,16.55
2022-01-01 12:00:00,13.11
2022-01-01 13:00:00,8.62
2022-01-01 14:00:00,7.9
2022-01-01 15:00:00,9.89
2022-01-01 16:00:00,15.5
2022-01-01 17:00:00,32.8
2022-01-01 18:00:00,25.85
2022-01-01 19:00:00,24.52
2022-01-01 20:00:00,28.25
2022-01-01 21:00:00,28.92
2022-01-01 22:00:00,21.89
2022-01-01 23:00:00,14.89
2022-01-02 00:00:00,26.79
2022-01-02 01:00:00,22.13
2022-01-02 02:00:00,28.29
2022-01-02 03:00:00,25.78
2022-01-02 04:00:00,22.31
2022-01-02 05:00:00,33.56
2022-01-02 06:00:00,21.29
2022-01-02 07:00:00,12.89
2022-01-02 08:00:00,8.11
2022-01-02 09:00:00,8.81
2022-01-02 10:00:00,8.05
2022-01-02 11:00:00,8.59
2022-01-02 12:00:00,8.14
2022-01-02 13:00:00,10.07
2022-01-02 14:00:00,8.62
2022-01-02 15:00:00,9.57
2022-01-02 16:00:00,18.83
2022-01-02 17:00:00,45.59
2022-01-02 18:00:00,39.76
2022-01-02 19:00:00,40.53
2022-01-02 20:00:00,39.91
2022-01-02 21:00:00,21.66
2022-01-02 22:00:00,14.47
2022-01-02 23:00:00,21.49
2022-01-03 00:00:00,37.68
2022-01-03 01:00:00,30.34
2022-01-03 02:00:00,34.74
2022-01-03 03:00:00,39.29
2022-01-03 04:00:00,40.84
2022-01-03 05:00:00,51.86
2022-01-03 06:00:00,66.6
2022-01-03 07:00:00,87.57
2022-01-03 08:00:00,77.77
2022-01-03 09:00:00,88.66
2022-01-03 10:00:00,79.77
2022-01-03 11:00:00,64.07
2022-01-03 12:00:00,59.83
2022-01-03 13:00:00,56.57
2022-01-03 14:00:00,51.3
2022-01-03 15:00:00,57.58
2022-01-03 16:00:00,79.58
2022-01-03 17:00:00,88.37
2022-01-03 18:00:00,95.24
2022-01-03 19:00:00,85.6
2022-01-03 20:00:00,76.6
2022-01-03 21:00:00,68.38
2022-01-03 22:00:00,86.35
2022-01-03 23:00:00,73.15
2022-01-04 00:00:00,76.55
2022-01-04 01:00:00,70.3
2022-01-04 02:00:00,96.09
2022-01-04 03:00:00,118.59
2022-01-04 04:00:00,127.34
2022-01-04 05:00:00,152.39
2022-01-04 06:00:00,129.46
2022-01-04 07:00:00,74.44
2022-01-04 08:00:00,71.85
2022-01-04 09:00:00,74.82
2022-01-04 10:00:00,77.7
2022-01-04 11:00:00,83.91
2022-01-04 12:00:00,82.41
2022-01-04 13:00:00,79.97
2022-01-04 14:00:00,85.19
2022-01-04 15:00:00,91.17
2022-01-04 16:00:00,107.21
2022-01-04 17:00:00,126.93
2022-01-04 18:00:00,172.2
2022-01-04 19:00:00,122.91
2022-01-04 20:00:00,129.32
2022-01-04 21:00:00,132.62
2022-01-04 22:00:00,119.63
2022-01-04 23:00:00,113.87
2022-01-05 00:00:00,92.38
2022-01-05 01:00:00,90.78
2022-01-05 02:00:00,85.21
2022-01-05 03:00:00,90.64
2022-01-05 04:00:00,120.92
2022-01-05 05:00:00,146.14
2022-01-05 06:00:00,99.7
2022-01-05 07:00:00,72.92
2022-01-05 08:00:00,67.91
2022-01-05 09:00:00,57.68
2022-01-05 10:00:00,53.35
2022-01-05 11:00:00,55.77
2022-01-05 12:00:00,50.17
2022-01-05 13:00:00,44.83
2022-01-05 14:00:00,59.45
2022-01-05 15:00:00,76.62
2022-01-05 16:00:00,89.9
2022-01-05 17:00:00,100.93
2022-01-05 18:00:00,121.61
2022-01-05 19:00:00,119.43
2022-01-05 20:00:00,110.62
2022-01-05 21:00:00,99.77
2022-01-05 22:00:00,86.14
2022-01-05 23:00:00,67.23
2022-01-06 00:00:00,58.56
2022-01-06 01:00:00,80.92
2022-01-06 02:00:00,92.9
2022-01-06 03:00:00,88.92
2022-01-06 04:00:00,143.36
2022-01-06 05:00:00,175.4
2022-01-06 06:00:00,93.59
2022-01-06 07:00:00,89.21
2022-01-06 08:00:00,77.71
2022-01-06 09:00:00,77.66
2022-01-06 10:00:00,71.33
2022-01-06 11:00:00,62.45
2022-01-06 12:00:00,63.55
2022-01-06 13:00:00,88.49
2022-01-06 14:00:00,96.58
2022-01-06 15:00:00,108.05
2022-01-06 16:00:00,124.09
2022-01-06 17:00:00,114.89
2022-01-06 18:00:00,101.32
2022-01-06 19:00:00,102.84
2022-01-06 20:00:00,108.3
2022-01-06 21:00:00,93.96
2022-01-06 22:00:00,84.09
2022-01-06 23:00:00,85.46
2022-01-07 00:00:00,96.55
2022-01-07 01:00:00,101.87
2022-01-07 02:00:00,108.29
2022-01-07 03:00:00,126.13
2022-01-07 04:00:00,128.11
2022-01-07 05:00:00,119.17
2022-01-07 06:00:00,107.28
2022-01-07 07:00:00,93.03
2022-01-07 08:00:00,78.35
2022-01-07 09:00:00,70.22
2022-01-07 10:00:00,55.02
2022-01-07 11:00:00,49.18
2022-01-07 12:00:00,45.09
2022-01-07 13:00:00,43.29
2022-01-07 14:00:00,40.7
2022-01-07 15:00:00,38.49
2022-01-07 16:00:00,62.6
2022-01-07 17:00:00,80.37
2022-01-07 18:00:00,126.65
2022-01-07 19:00:00,98.05
2022-01-07 20:00:00,82.79
2022-01-07 21:00:00,72.38
2022-01-07 22:00:00,97.34
2022-01-07 23:00:00,117.22
2022-01-08 00:00:00,107.34
2022-01-08 01:00:00,94.28
2022-01-08 02:00:00,86.4
2022-01-08 03:00:00,92.68
2022-01-08 04:00:00,82.81
2022-01-08 05:00:00,101.59
2022-01-08 06:00:00,67.84
2022-01-08 07:00:00,48.7
2022-01-08 08:00:00,42.97
2022-01-08 09:00:00,29.51
2022-01-08 10:00:00,21.3
2022-01-08 11:00:00,23.6
2022-01-08 12:00:00,24.23
2022-01-08 13:00:00,20.21
2022-01-08 14:00:00,18.82
2022-01-08 15:00:00,30.58
2022-01-08 16:00:00,48.23
2022-01-08 17:00:00,46.36
2022-01-08 18:00:00,55.17
2022-01-08 19:00:00,63.28
2022-01-08 20:00:00,55.84
2022-01-08 21:00:00,55.16
2022-01-08 22:00:00,120.03
2022-01-08 23:00:00,121.34
2022-01-09 00:00:00,72.67
